title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
What's the Name of the Game,Joe Brown,423,165.034667969,E,major,0.919717788696,154.331436157,0.634,0.0669,0.593,0,0.27,0.496,-9.741,0.586,-9.741,dark,atonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Go!,Melanie C,470,129.91595459,E,major,0.909988224506,217.919281006,0.913,0.0318,0.0421,0.0023,0.107,0.665,-5.981,0.969,-5.981,dark,atonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Time Flies...,Subhumans,407,116.67124176,A,major,0.930361390114,211.800811768,0.812,0.268,0.244,0,0.139,0.352,-6.613,0.341,-6.613,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,not_electronic,aggressive,not_acoustic
Gaye,Clifford T. Ward,521,147.323974609,C,major,0.654812693596,215.453338623,0.24,0.0287,0.495,0.0359,0.0654,0.26,-13.231,0.283,-13.231,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Tinseltown in the Rain,The Blue Nile,694,117.850028992,D,major,0.808015525341,353.828582764,0.817,0.0346,0.0575,1.27e-05,0.0782,0.777,-6.699,0.914,-6.699,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Hard to Believe,Percy Sledge,312,132.627243042,C,major,0.911079466343,142.129348755,0.426,0.0277,0.726,2.18e-05,0.172,0.518,-7.839,0.476,-7.839,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
You Won't Be Happy,The Beat,351,148.306259155,D#,major,0.852334439754,142.968170166,0.815,0.0487,0.19,0,0.0813,0.501,-6.613,0.96,-6.613,bright,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
2 X 4,Justin Roberts,357,133.63848877,F,major,0.725208580494,161.906936646,0.288,0.0309,0.765,0,0.108,0.573,-10.791,0.359,-10.791,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Put Your Hands Together,The O’Jays,426,139.447570801,G,major,0.864953398705,184.032653809,0.759,0.0917,0.445,5.27e-06,0.166,0.584,-7.375,0.748,-7.375,bright,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
One Step at a Time (acoustic),Four Year Strong,512,148.19078064,G,major,0.842369258404,209.240814209,0.667,0.0339,0.334,1.19e-05,0.274,0.335,-6.207,0.578,-6.207,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Interlude,Blue,125,104.804046631,A,major,0.463108301163,73.4679336548,0.494,0.0487,0.965,0.00173,0.173,0.763,-6.857,0.347,-6.857,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Sweet Memory,The Belle Stars,442,131.790985107,A#,minor,0.918436586857,200.990478516,0.839,0.0724,0.024,0.00948,0.313,0.602,-7.873,0.784,-7.873,bright,atonal,voice,not_sad,not_relaxed,party,happy,electronic,aggressive,not_acoustic
A Thing of the Past,Shoes,664,172.265029907,B,major,0.961818635464,230.635101318,0.651,0.0295,0.195,0,0.208,0.404,-7.229,0.634,-7.229,dark,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
More Human Than Human (remix),White Zombie,433,100.955978394,C#,major,0.960900127888,257.57333374,0.689,0.101,0.00209,0.811,0.0909,0.627,-5.275,0.477,-5.275,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Say Hello Wave Goodbye (extended version),Soft Cell,553,102.138763428,C,major,0.823536574841,325.694702148,0.59,0.0359,0.618,6.29e-06,0.122,0.453,-9.349,0.445,-9.349,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Little Girl,Redbone,609,154.308578491,A,major,0.891139566898,237.191833496,0.729,0.0808,0.0188,0.00273,0.276,0.43,-7.894,0.383,-7.894,dark,atonal,voice,not_sad,relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Centurian War Games,Manilla Road,530,151.142608643,C#,major,0.323271334171,223.346939087,0.648,0.042,0.668,0,0.2,0.195,-9.871,0.311,-9.871,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
A Day in the Death,Testament | Chris Adler,857,150.675445557,C#,minor,0.945363581181,341.577148438,0.987,0.09,8.49e-05,0.000386,0.0832,0.496,-3.886,0.479,-3.886,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Behold a Pale Horse,Saviour Machine,638,163.978851318,B,minor,0.939957618713,234.133331299,0.863,0.0549,0.000274,0.00198,0.474,0.428,-9.618,0.679,-9.618,dark,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Real Toys,Altered Images,454,134.690979004,A,major,0.893563985825,204.382034302,0.625,0.0373,0.461,0.589,0.108,0.614,-14.243,0.697,-14.243,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Oye como va,Carlos Santana,554,129.130630493,C#,minor,0.776906907558,259.265319824,0.379,0.0539,0.301,0.345,0.104,0.736,-13.208,0.948,-13.208,dark,atonal,instrumental,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Editing Floor Blues,Yusuf,491,150.122848511,F#,major,0.715791583061,222.48008728,0.666,0.106,0.251,0.000116,0.0793,0.631,-6.048,0.874,-6.048,dark,tonal,voice,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Write Me a Few of Your Lines / Kokomo Blues,Bonnie Raitt,350,93.3591918945,F,major,0.893860220909,220.079971313,0.671,0.156,0.783,0.198,0.0834,0.444,-7.297,0.685,-7.297,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Pablo Picasso,The Modern Lovers,477,110.570602417,E,minor,0.926943063736,259.839996338,0.729,0.0306,0.00269,0.131,0.109,0.617,-9.174,0.835,-9.174,dark,tonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Hate Me,Blue October,607,92.8116073608,C,major,0.773183226585,380.133880615,0.691,0.0349,0.477,0,0.0966,0.449,-5.65,0.201,-5.65,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Holy Mountain,Spiral Guru,418,80.0557174683,D,minor,0.956252276897,233.5,0.64,0.032,0.00261,0.726,0.0972,0.229,-7.711,0.0569,-7.711,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Last Christmas,Jamelia,408,109.598205566,C#,major,0.374749362469,220.148391724,0.29,0.21,0.742,0,0.0954,0.813,-9.237,0.432,-9.237,dark,atonal,voice,sad,relaxed,party,happy,not_electronic,not_aggressive,acoustic
She's Just My Style,Gary Lewis & the Playboys,461,147.771621704,A,major,0.922868192196,188.360275269,0.685,0.027,0.411,0,0.0728,0.517,-8.666,0.945,-8.666,bright,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
In Time,The Sir Douglas Quintet,341,155.349075317,G#,minor,0.933254599571,133.537963867,0.671,0.0297,0.0791,0,0.118,0.362,-5.177,0.652,-5.177,bright,tonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Veil of Elysium,Kamelot,647,165.574630737,D,minor,0.974556326866,234.440002441,0.952,0.0557,0.00105,0.000636,0.303,0.389,-3.997,0.487,-3.997,dark,tonal,voice,not_sad,not_relaxed,party,happy,electronic,aggressive,not_acoustic
White Feathers,Kajagoogoo | Limahl,483,140.547164917,D,major,0.909578919411,206.975982666,0.488,0.0555,0.0348,4.09e-06,0.0238,0.711,-12.443,0.942,-12.443,bright,tonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Love Dealer,Esmée Denters | Justin Timberlake,468,123.934532166,F#,minor,0.958706557751,227.578781128,0.813,0.0905,0.436,0,0.29,0.901,-3.021,0.911,-3.021,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Run Away,Allister,603,166.456771851,F#,major,0.951966404915,216.455993652,0.837,0.0431,0.00378,0,0.105,0.376,-4.869,0.539,-4.869,dark,atonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Mountains and Molehills,Flux Pavilion | Turin Brakes,651,139.982574463,C,major,0.833064317703,280.084899902,0.763,0.03,0.0105,0.0152,0.102,0.595,-5.589,0.0381,-5.589,bright,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Dear Elaine,Roy Wood,514,123.207000732,D,major,0.753102183342,249.919998169,0.34,0.0315,0.789,0.00898,0.319,0.361,-9.51,0.339,-9.51,bright,tonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Take Control,Raven,451,133.620742798,D,major,0.962410390377,202.759994507,0.881,0.14,0.0076,0.76,0.403,0.338,-9.623,0.437,-9.623,bright,tonal,voice,not_sad,not_relaxed,party,not_happy,not_electronic,aggressive,not_acoustic
Let The Jukebox Keep On Playing,Carl Perkins,309,109.481712341,G,major,0.935939908028,173.035095215,0.385,0.0291,0.799,2.54e-06,0.229,0.536,-9.771,0.632,-9.771,bright,tonal,voice,sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Blockheads,Ian Dury,515,147.697952271,A,major,0.893755197525,209.893875122,0.912,0.048,0.328,0,0.702,0.595,-9.591,0.855,-9.591,bright,tonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Road Rage,Catatonia,348,93.1696548462,G#,major,0.886591136456,224.862045288,0.615,0.0314,0.0207,0.000364,0.398,0.497,-5.33,0.463,-5.33,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Roadhouse Blues,Creed,779,136.325485229,A#,minor,0.898198127747,349.178771973,0.922,0.137,0.00775,0.00121,0.888,0.297,-5.541,0.259,-5.541,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Country Comes to Town,Toby Keith,451,123.932418823,A,major,0.933184802532,217.051422119,0.928,0.0423,0.102,0,0.066,0.697,-4.173,0.722,-4.173,bright,tonal,voice,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Senseless Lass,The Yobs,374,155.624969482,G#,minor,0.961084425449,146.416320801,0.818,0.0551,0.000151,0,0.695,0.221,-5.91,0.572,-5.91,dark,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
